Unnamed: 0,md_area,idnum,poi_classes,pop10,block_prop_pop,road_length,num_poi,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10.ss,geocode.b,geocode.bg,geocode.t,GEOID10,GEOID,NAME,FIPS,popACS,State,pop2010,area_km2,popPrcCounty,prc.latino.std,dens.cvap.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,dens.work.std,popDens.std,rate.vbm.std,rate.hisvbm.std,rate.aisvbm.std,rate.yousvbm.std,prc.ElNonReg.std,dens.poll.std,LEP_flag,CarAccess_flag,disab_flag,BelowPoverty_flag,youth_flag,Latino_flag,cvapDens_flag,ElNonReg_flag,BLOCKID10.ind,center_score,droppoff_score,geometry,lks_data,fire_station,library,town_hall,public_building,school,community_centre,arts_centre,college,university,near_node,center_score_cost_adjustment,dropbox_cost_adjustment
745,6.78193792621818e-05,812,"['school', 'fire_station']",1691,877,0.10045968190668801,2.0,-76.0809275051638,40.32697344932271,42,11,10600,4049,420110106004049,420110106004049,420110106004,42011010600,420110106004049,42011010600,Census Tract 106 Berks County Pennsylvania,42011,8595,PA,40,0.0106802418759912,9.72190491004808e-05,0.43519781718963196,0.8948006669698351,0.536077004699106,0.6416552978626651,0.3033954827952101,0.23859329998484197,0.7339699863574349,0.0,0.8391693193876,1.0,1.0,1.0,1.0,0.634682431408216,0.0,0,0,0,0,0,0,0,0,420110106004049,0.643948006669698,0.645260941120423,POINT (-76.0809275051638 40.32697344932271),1,1,0,0,0,1,0,0,0,0,136229405,0.5,0.5
750,6.78182289949561e-05,817,"['school', 'cafe']",1883,582,0.0982294714821413,2.0,-76.0338691186819,40.3258104756964,42,11,10902,2008,420110109022008,420110109022008,420110109022,42011010902,420110109022008,42011010902,Census Tract 109.02 Berks County Pennsylvania,42011,4092,PA,10,0.022812971390672,2.43047622751202e-05,0.7425344853721391,0.30210701834167,0.7596634834015459,0.8102167651963009,0.7462482946794,0.8806275579809,0.468925269061695,0.887524632408671,0.49135970895861797,0.33409125360012104,1.0,0.41056540851902396,0.201303622858875,0.172199484614219,0.7962710322874029,0,0,0,0,0,0,0,0,420110109022008,0.5957821737153249,0.618912222005674,POINT (-76.03386911868191 40.3258104756964),1,0,0,0,0,1,0,0,0,0,135946916,0.5,0.5
751,6.781799674295849e-05,818,"['school', 'library', 'police']",1828,906,0.18423658911423396,3.0,-76.0244576306001,40.325575650004396,42,11,10902,1006,420110109021006,420110109021006,420110109021,42011010902,420110109021006,42011010902,Census Tract 109.02 Berks County Pennsylvania,42011,4092,PA,167,0.378522677309677,0.000405889529994507,0.7425344853721391,0.30210701834167,0.7596634834015459,0.8102167651963009,0.7462482946794,0.8806275579809,0.468925269061695,0.9653630438077908,0.4922692132787629,0.209716537820221,1.0,0.5100045475216011,0.5098529634682429,0.172199484614219,0.994770350159163,0,0,0,0,0,0,0,0,420110109021006,0.624225026527209,0.6510227592628679,POINT (-76.0244576306001 40.3255756500044),1,0,1,0,0,1,0,0,0,0,136353377,0.5,0.5
752,6.78177637583517e-05,819,,1943,829,0.250389410284222,,-76.0150462060571,40.32534008067472,42,11,10902,2000,420110109022000,420110109022000,420110109022,42011010902,420110109022000,42011010902,Census Tract 109.02 Berks County Pennsylvania,42011,4092,PA,62,0.07437166578621601,0.000150689526105745,0.7425344853721391,0.30210701834167,0.7596634834015459,0.8102167651963009,0.7462482946794,0.8806275579809,0.468925269061695,0.993178717598909,0.54835531302107,0.209716537820221,1.0,0.5100045475216011,0.5098529634682429,0.172199484614219,0.934591480976201,0,0,0,0,0,0,0,0,420110109022000,0.6303130210701829,0.657957837978302,POINT (-76.01504620605709 40.32534008067472),1,0,0,0,0,0,0,0,0,0,4734754640,0.5,0.5
754,6.78172955911676e-05,821,,2323,1438,0.212155684776817,,-75.9962235483884,40.3248667111324,42,11,10903,3025,420110109033025,420110109033025,420110109033,42011010903,420110109033025,42011010903,Census Tract 109.03 Berks County Pennsylvania,42011,6252,PA,44,0.0114845914115347,0.000106940954010529,0.5666211914506589,0.6685614673336371,0.927088070335001,0.667348794906776,0.0611641655297863,0.254737001667425,0.6492345005305439,0.0,0.842731544641504,0.791344550553282,1.0,0.431256631802334,1.0,0.10845839017735301,0.7579202667879341,0,0,0,0,0,0,0,0,420110109033025,0.601214567227528,0.6173219428744671,POINT (-75.9962235483884 40.3248667111324),1,0,0,0,0,0,0,0,0,0,136241023,0.5,0.5
755,6.78170604084959e-05,822,,2008,1170,0.16809987097117599,,-75.9868123156633,40.324628910935296,42,11,10905,1041,420110109051041,420110109051041,420110109051,42011010905,420110109051041,42011010905,Census Tract 109.05 Berks County Pennsylvania,42011,4745,PA,22,0.0116186945597529,5.34704770052644e-05,0.7113839624071551,0.479157192663332,0.768531150522965,0.7998332575413071,0.0273609216310444,0.74495983022586,0.25072002425344897,0.0,0.694785508564499,0.791344550553282,1.0,0.431256631802334,1.0,0.150674549037441,0.7602698196149771,0,0,0,1,0,0,0,0,420110109051041,0.6104024556616651,0.637663223543169,POINT (-75.9868123156633 40.3246289109353),1,0,0,0,0,0,0,0,0,0,136124081,0.5,0.5
759,6.781611235263821e-05,826,"['school', 'school', 'school', 'school', 'public_building']",3330,1679,0.136827552861092,5.0,-75.9491680301626,40.323670274154395,42,11,2600,1021,420110026001021,420110026001021,420110026001,42011002600,420110026001021,42011002600,Census Tract 26 Berks County Pennsylvania,42011,3134,PA,111,0.0970164671041556,0.00026978286125383397,0.93966954676368,0.0995907230559345,0.896543883583447,0.8838866151280891,0.9957556465059879,0.9757465514627859,0.9477792936183108,0.0,0.58981355161437,0.37691374867364,1.0,0.413672881612854,0.5053054418675159,0.613763832044869,0.9576322570865552,0,0,0,0,0,0,0,0,420110026001021,0.676796271032287,0.6707489876350721,POINT (-75.9491680301626 40.3236702741544),1,0,0,0,1,1,0,0,0,0,5556132794,0.5,0.5
760,6.7815873507753e-05,827,"['fire_station', 'community_centre']",1658,909,0.0881065434204416,2.0,-75.9397571211383,40.323428756,42,11,2600,1016,420110026001016,420110026001016,420110026001,42011002600,420110026001016,42011002600,Census Tract 26 Berks County Pennsylvania,42011,3134,PA,326,0.345470439515034,0.0007923352501689177,0.93966954676368,0.0995907230559345,0.896543883583447,0.8838866151280891,0.9957556465059879,0.9757465514627859,0.9477792936183108,0.967182052448082,0.563362134303471,0.37691374867364,1.0,0.413672881612854,0.5053054418675159,0.613763832044869,0.995073518265878,0,0,0,0,0,0,0,0,420110026001016,0.7479005608609971,0.7560935706706509,POINT (-75.9397571211383 40.323428756),0,1,0,0,0,0,1,0,0,0,136511096,0.5,0.5
761,6.7815633930414e-05,828,"['school', 'fire_station', 'community_centre']",1459,921,0.173864173238757,3.0,-75.93034627745492,40.3231864942776,42,11,2900,1002,420110029001002,420110029001002,420110029001,42011002900,420110029001002,42011002900,Census Tract 29 Berks County Pennsylvania,42011,3374,PA,0,0.110313564899429,0.0,0.8323480369865089,0.254812793694103,0.964529331514325,0.8450053054418671,0.792178262846749,0.597544338335607,0.692056995604063,0.0,0.0,0.7061543125663181,1.0,0.529179930271335,0.691905411550705,0.661058056692436,0.958314385326664,0,0,0,0,0,0,0,0,420110029001002,0.611363119599818,0.603070172589272,POINT (-75.93034627745492 40.3231864942776),1,1,0,0,0,1,1,0,0,0,4637945476,0.5,0.5
764,6.78149108032269e-05,831,,430,312,0.0535822563901604,,-75.90211414045079,40.3224552477814,42,11,12200,2043,420110122002043,420110122002043,420110122002,42011012200,420110122002043,42011012200,Census Tract 122 Berks County Pennsylvania,42011,3212,PA,4,0.194083819387858,9.72190491004808e-06,0.765272093375777,0.186903137789904,0.8494012429892379,0.6577989995452479,0.827952099439139,0.37532211611338506,0.5042443534940121,0.800363801728058,0.27323025617705,0.5324389874185239,1.0,0.485296346824314,0.140139457329089,0.868197665605578,0.963089283007428,0,0,0,0,0,0,0,0,420110122002043,0.6086080794300439,0.593911409948245,POINT (-75.90211414045079 40.3224552477814),1,0,0,0,0,0,0,0,0,0,136415162,0.5,0.5
806,6.78251173155051e-05,877,,1174,366,0.0882799216990719,,-76.02415008486291,40.3327738689307,42,11,10902,1006,420110109021006,420110109021006,420110109021,42011010902,420110109021006,42011010902,Census Tract 109.02 Berks County Pennsylvania,42011,4092,PA,167,0.378522677309677,0.000405889529994507,0.7425344853721391,0.30210701834167,0.7596634834015459,0.8102167651963009,0.7462482946794,0.8806275579809,0.468925269061695,0.9653630438077908,0.4922692132787629,0.209716537820221,1.0,0.5100045475216011,0.5098529634682429,0.172199484614219,0.994770350159163,0,0,0,0,0,0,0,0,420110109021006,0.624225026527209,0.6510227592628679,POINT (-76.02415008486291 40.3327738689307),0,0,0,0,0,0,0,0,0,0,1111088567,0.5,0.5
808,6.7824650394858e-05,879,,1615,702,0.23485428667268304,,-76.0053253568278,40.33230193709621,42,11,10903,2013,420110109032013,420110109032013,420110109032,42011010903,420110109032013,42011010903,Census Tract 109.03 Berks County Pennsylvania,42011,6252,PA,86,0.304680221716905,0.00020902095556603402,0.5666211914506589,0.6685614673336371,0.927088070335001,0.667348794906776,0.0611641655297863,0.254737001667425,0.6492345005305439,0.9914355009852959,0.4596028497802029,0.5529028346217979,1.0,1.0,0.34129149613460696,0.10845839017735301,0.997044110959527,0,0,0,0,0,0,0,0,420110109032013,0.588866151280885,0.604193951796271,POINT (-76.0053253568278 40.33230193709621),1,0,0,0,0,0,0,0,0,0,136315804,0.5,0.5
809,6.78244158352117e-05,880,,2315,1515,0.20865004157106798,,-75.99591308864879,40.33206485562471,42,11,11000,4001,420110110004001,420110110004001,420110110004,42011011000,420110110004001,42011011000,Census Tract 110 Berks County Pennsylvania,42011,4463,PA,13,0.00251169135716092,3.15961909576562e-05,0.721767470062149,0.397983932090344,0.34477792936183105,0.40260724571775,0.379035925420646,0.27739881764438395,0.622783083219645,0.0,0.8805517659542221,1.0,1.0,1.0,1.0,0.924207973321207,0.0,1,0,0,0,0,0,0,0,420110110004001,0.658803243898742,0.64737976136339,POINT (-75.99591308864879 40.33206485562471),1,0,0,0,0,0,0,0,0,0,136219928,0.5,0.5
810,6.78241805427697e-05,881,,1461,998,0.11540040627907305,,-75.98650088462921,40.331827030460786,42,11,11000,1030,420110110001030,420110110001030,420110110001,42011011000,420110110001030,42011011000,Census Tract 110 Berks County Pennsylvania,42011,4463,PA,89,0.0940174739154344,0.00021631238424857,0.721767470062149,0.397983932090344,0.34477792936183105,0.40260724571775,0.379035925420646,0.27739881764438395,0.622783083219645,0.0,0.5638168864635439,1.0,1.0,1.0,1.0,0.924207973321207,0.0,1,0,0,0,0,0,0,0,420110110001030,0.6192113839624069,0.6077879014270561,POINT (-75.98650088462921 40.33182703046079),0,0,0,0,0,0,0,0,0,0,136194046,0.5,0.5
811,6.78239445170987e-05,882,,1629,763,0.143538978078642,,-75.97708874496921,40.331588461612,42,11,11000,2010,420110110002010,420110110002010,420110110002,42011011000,420110110002010,42011011000,Census Tract 110 Berks County Pennsylvania,42011,4463,PA,46,0.019095029144912,0.000111801906465553,0.721767470062149,0.397983932090344,0.34477792936183105,0.40260724571775,0.379035925420646,0.27739881764438395,0.622783083219645,0.0,0.754130665453994,1.0,1.0,1.0,1.0,0.924207973321207,0.0,1,0,0,0,0,0,0,0,420110110002010,0.643000606336213,0.6315771238008621,POINT (-75.97708874496921 40.331588461612),0,0,0,0,0,0,0,0,0,0,136281106,0.5,0.5
816,6.78227533963615e-05,887,"['school', 'school', 'school', 'fire_station']",4446,4030,0.160742899965792,4.0,-75.9300290190745,40.3303844623688,42,11,2500,2006,420110025002006,420110025002006,420110025002,42011002500,420110025002006,42011002500,Census Tract 25 Berks County Pennsylvania,42011,3347,PA,203,0.0118169583266475,0.00049338667418494,0.9199636198271941,0.11823556161891804,0.391768985902683,0.974609671062604,0.98112778535698,0.985447930877672,0.9934818857056241,0.8206002728512959,0.979308776716689,1.0,1.0,1.0,1.0,0.025693497044111002,0.0,0,0,0,0,0,0,0,0,420110025002006,0.8222070638168859,0.8624743389852529,POINT (-75.9300290190745 40.3303844623688),1,1,0,0,0,1,0,0,0,0,136385582,0.5,0.5
817,6.7822512973848e-05,888,"['school', 'school', 'fire_station', 'community_centre']",6571,5344,0.190159430387152,4.0,-75.9206172697783,40.3301414315751,42,11,2200,2015,420110022002015,420110022002015,420110022002,42011002200,420110022002015,42011002200,Census Tract 22 Berks County Pennsylvania,42011,2244,PA,18,0.0056911325501315295,4.3748572095216295e-05,0.9908291647718659,0.00265272093375777,0.844474761255116,0.936789449749886,0.9735485826891008,0.934212520842807,0.9527057753524332,0.887524632408671,0.8112020615431259,0.604668788843414,1.0,0.38237077459451296,0.6787933909352739,0.0606336213430347,0.747309383052903,0,0,0,0,0,0,0,0,420110022002015,0.75889229953009,0.788565744169428,POINT (-75.9206172697783 40.3301414315751),1,1,0,0,0,1,1,0,0,0,136336426,0.5,0.5
818,6.782227181882521e-05,889,"['school', 'school', 'school', 'school', 'school', 'library']",6417,5511,0.204162330160535,6.0,-75.9112055862436,40.3298976571515,42,11,2000,3005,420110020003005,420110020003005,420110020003,42011002000,420110020003005,42011002000,Census Tract 20 Berks County Pennsylvania,42011,4127,PA,10,0.00222208632322308,2.43047622751202e-05,0.864408064271639,0.225102319236016,0.733818402304078,0.868197665605578,0.8763074124602092,0.910338032438987,0.884871911474913,0.0,0.8643322722449599,0.20532060027285104,1.0,0.29899954524784,0.638320448688798,0.506821282401091,0.392830074276186,0,0,0,0,0,0,0,0,420110020003005,0.630544186751554,0.636568949089413,POINT (-75.9112055862436 40.3298976571515),1,0,1,0,0,1,0,0,0,0,136180705,0.5,0.5
819,6.78220299311289e-05,890,"['school', 'community_centre']",4409,2981,0.168744640290962,2.0,-75.9017939686706,40.32965313910579,42,11,1800,2000,420110018002000,420110018002000,420110018002,42011001800,420110018002000,42011001800,Census Tract 18 Berks County Pennsylvania,42011,2506,PA,2,0.0552538031343222,4.86095245502404e-06,0.8447779293618309,0.0925420645748067,0.8175685917841441,0.7497347279066241,0.8650144004850692,0.861679551311202,0.9283007427618608,0.800363801728058,0.303243898741852,0.646278611490071,1.0,0.479157192663332,0.446869789298166,0.0,0.805214491435501,1,0,0,0,0,0,0,1,420110018002000,0.645090571471881,0.669112908464887,POINT (-75.9017939686706 40.32965313910579),1,0,0,0,0,1,1,0,0,0,136261504,0.5,0.5
820,6.7821787310937e-05,891,"['school', 'school', 'school', 'public_building', 'police']",1685,1310,0.125131098173964,5.0,-75.8923824172595,40.329407877445995,42,11,12200,3033,420110122003033,420110122003033,420110122003,42011012200,420110122003033,42011012200,Census Tract 122 Berks County Pennsylvania,42011,3212,PA,22,0.0178723216791181,5.34704770052644e-05,0.765272093375777,0.186903137789904,0.8494012429892379,0.6577989995452479,0.827952099439139,0.37532211611338506,0.5042443534940121,0.0,0.6005002273760799,1.0,1.0,1.0,1.0,0.868197665605578,0.0,0,0,0,0,0,0,0,0,420110122003033,0.6900049264817341,0.679403462612876,POINT (-75.8923824172595 40.32940787744599),1,0,0,0,1,1,0,0,0,0,5556255121,0.5,0.5
